occupation_id,core_occupation,value_chain,technology,,,,,,,,,,,,,,,,,,,,,,,
120,Production engineer,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
121,Control room operator,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
122,Lab technician,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
123,Maintenance planner,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
124,Maintenance trade - Instrumentation technician,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
125,Maintenance trade - Mechanical,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
126,Plant manager,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
127,Plant operator,Upgrading,Ammonia,,,,,,,,,,,,,,,,,,,,,,,
128,Dual fuel heavy duty mechanic,End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
129,Transit operator,End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
130,Fleet manager,End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
131,Fuel cell electric vehicle (FCEV) technician,End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
132,Locomotive engineer,End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
133,Locomotive mechanic (shop and field),End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
134,Transportation solutions advisor,End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
135,"Truck drivers - Class 1 & 3 Transport, freight, delivery/courier",End Use,Transport,,,,,,,,,,,,,,,,,,,,,,,
136,Automation & controls specialist,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
137,Mechanical engineer - Compression,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
138,Mechanical engineer - Equipment & piping,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
139,Mechanical engineer - Reliability,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
140,Process control engineer,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
141,Process engineer,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
142,Process safety engineer,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
143,Product engineer,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
144,Quality engineer,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
145,Fueling station technician,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
146,Logistics coordinator,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
147,Maintenance technician - Compression,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
148,Maintenance technician - Electrical & mechanical,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
149,Truck Driver - Hydrogen fuel delivery,End Use,Fueling Station,,,,,,,,,,,,,,,,,,,,,,,
150,Asset performance manager,End Use,Heating,,,,,,,,,,,,,,,,,,,,,,,
151,Gas fuser,End Use,Heating,,,,,,,,,,,,,,,,,,,,,,,
152,"HVAC technician (also known as: Refrigeration and Air Conditioning Mechanic, HVAC-R technician)",End Use,Heating,,,,,,,,,,,,,,,,,,,,,,,
153,Utility inspector,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
154,Utility operator,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
155,Utility services planner,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
156,Utility services technician,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
157,Welding engineer,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
158,Automation & controls specialist,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
159,Electrical engineer,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
160,Electrical & instrumentation engineer,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
161,Facility engineer,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
162,Hydrogen integration specialist,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
163,Mechanical engineer - Equipment & piping,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
164,Mechanical engineer - Reliability,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
165,Process control engineer,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
166,Process engineer,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
167,Process safety engineer,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
168,Control room operator,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
169,Maintenance planner,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
170,Maintenance trade - Electrical,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
171,Maintenance trade - Instrumentation & controls,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
172,Maintenance trade - Mechanical,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
173,Plant operator,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
174,Power scheduler,End Use,Power Generation,,,,,,,,,,,,,,,,,,,,,,,
175,Applications engineer,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
